timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-02-22T01:45:24.641211,149.0,16.46,3.24,3.26,492.0
2026-02-22T01:45:24.667461,167.8,16.07,3.24,3.26,496.0
2026-02-22T01:45:24.691272,153.5,15.35,3.24,3.26,539.0
2026-02-22T01:45:24.717570,149.6,14.96,3.24,3.25,531.0
2026-02-22T01:45:24.742522,205.5,16.79,3.24,3.26,492.0
2026-02-22T01:45:24.773426,132.6,13.95,3.24,3.25,539.0
2026-02-22T01:45:24.799539,152.1,15.21,3.24,3.26,510.0
2026-02-22T01:45:24.825197,174.5,15.38,3.25,3.26,539.0
2026-02-22T01:45:24.852130,148.4,14.9,3.24,3.26,477.0
2026-02-22T01:45:24.879453,167.1,16.71,3.24,3.26,487.0
2026-02-22T01:45:24.906102,163.4,16.55,3.24,3.25,496.0
2026-02-22T01:45:24.931463,139.2,13.7,3.25,3.26,474.0
2026-02-22T01:45:24.956126,166.3,16.63,3.25,3.26,488.0
2026-02-22T01:45:24.984694,160.4,16.04,3.24,3.26,537.0
2026-02-22T01:45:25.008675,153.4,15.58,3.24,3.25,536.0
2026-02-22T01:45:25.036409,148.5,16.29,3.24,3.26,534.0
2026-02-22T01:45:25.063229,151.6,15.16,3.24,3.26,541.0
2026-02-22T01:45:25.089355,156.1,16.17,3.24,3.26,511.0
2026-02-22T01:45:25.110577,150.1,14.97,3.24,3.25,523.0
2026-02-22T01:45:25.143496,136.9,13.69,3.26,3.27,480.0
2026-02-22T01:45:25.164062,153.1,15.36,3.25,3.26,492.0
2026-02-22T01:45:25.194332,160.3,14.91,3.24,3.25,492.0
2026-02-22T01:45:25.222947,147.6,14.76,3.26,3.27,416.0
2026-02-22T01:45:25.245127,154.0,15.4,3.24,3.26,498.0
2026-02-22T01:45:25.272858,149.8,15.82,3.24,3.25,488.0
2026-02-22T01:45:25.300572,127.5,14.52,3.25,3.27,423.0
2026-02-22T01:45:25.326684,140.6,14.06,3.25,3.27,482.0
2026-02-22T01:45:25.349683,171.1,17.75,3.23,3.25,764.0
2026-02-22T01:45:25.377715,150.0,15.02,3.24,3.26,537.0
2026-02-22T01:45:25.406056,166.8,16.68,3.24,3.26,528.0
2026-02-22T01:45:25.431103,159.5,15.28,3.24,3.26,488.0
2026-02-22T01:45:25.455830,166.6,14.84,3.24,3.26,500.0
2026-02-22T01:45:25.484252,162.5,16.25,3.24,3.26,539.0
2026-02-22T01:45:25.511412,159.4,15.94,3.24,3.26,500.0
2026-02-22T01:45:25.537657,167.8,16.67,3.24,3.26,480.0
2026-02-22T01:45:25.559248,161.7,16.3,3.24,3.25,534.0
2026-02-22T01:45:25.591418,153.6,15.36,3.24,3.26,524.0
2026-02-22T01:45:25.614189,153.5,17.37,3.24,3.25,560.0
2026-02-22T01:45:25.644730,153.2,16.25,3.24,3.26,531.0
2026-02-22T01:45:25.671364,130.2,13.02,3.25,3.27,426.0
2026-02-22T01:45:25.697467,157.1,15.23,3.24,3.26,546.0
2026-02-22T01:45:25.722906,156.7,15.18,3.25,3.26,555.0
2026-02-22T01:45:25.744729,131.5,13.15,3.25,3.26,431.0
2026-02-22T01:45:25.774576,154.6,15.46,3.24,3.26,490.0
2026-02-22T01:45:25.797573,163.6,15.48,3.25,3.26,495.0
2026-02-22T01:45:25.828902,153.1,13.47,3.26,3.27,434.0
2026-02-22T01:45:25.852965,167.0,16.7,3.24,3.25,532.0
2026-02-22T01:45:25.881380,158.8,16.76,3.24,3.25,519.0
2026-02-22T01:45:25.907994,154.1,15.4,3.24,3.26,492.0
2026-02-22T01:45:25.927670,163.7,16.37,3.24,3.26,539.0
2026-02-22T01:45:25.959450,153.4,15.34,3.24,3.26,539.0
2026-02-22T01:45:25.980545,164.6,15.59,3.24,3.26,508.0
2026-02-22T01:45:26.011584,156.3,15.65,3.24,3.25,557.0
2026-02-22T01:45:26.039440,129.7,12.97,3.26,3.27,436.0
2026-02-22T01:45:26.065101,157.2,16.46,3.24,3.26,516.0
2026-02-22T01:45:26.093258,163.9,15.16,3.24,3.26,478.0
2026-02-22T01:45:26.118748,145.0,14.5,3.25,3.26,418.0
2026-02-22T01:45:26.144764,143.0,15.83,3.24,3.25,565.0
2026-02-22T01:45:26.163797,154.0,16.39,3.24,3.26,488.0
2026-02-22T01:45:26.194170,168.7,16.87,3.25,3.27,472.0
2026-02-22T01:45:26.222811,156.5,15.65,3.24,3.26,451.0
2026-02-22T01:45:26.244083,150.9,14.89,3.24,3.25,521.0
2026-02-22T01:45:26.277564,221.4,24.31,3.21,3.23,800.0
2026-02-22T01:45:26.301049,162.0,16.2,3.24,3.26,519.0
2026-02-22T01:45:26.329939,149.9,14.97,3.24,3.26,488.0
2026-02-22T01:45:26.355866,167.6,16.93,3.24,3.25,546.0
2026-02-22T01:45:26.377269,158.3,15.83,3.25,3.26,498.0
2026-02-22T01:45:26.408139,129.2,12.7,3.25,3.26,419.0
